TimeGenerated,DeviceName,Username,IpAddress,ActionType,RawData
"Aug 17, 2026 12:31:27 AM",corp-na01-bp123na,root,77.90.185.30,LogonFailure,2026-08-17T06:31:27.285321Z   184 Connect Access denied for user 'root'@'77.90.185.30' (using password: NO)
"Aug 17, 2026 12:09:55 AM",corp-na01-bp123na,root,64.89.163.176,LogonSuccess,2026-08-17T06:09:54.919925Z   182 Connect root@64.89.163.176 on  using TCP/IP
"Aug 17, 2026 12:09:54 AM",corp-na01-bp123na,root,64.89.163.176,LogonSuccess,2026-08-17T06:09:54.065829Z   180 Connect root@64.89.163.176 on  using TCP/IP
"Aug 17, 2026 12:09:54 AM",corp-na01-bp123na,root,64.89.163.176,LogonSuccess,2026-08-17T06:09:54.443070Z   181 Connect root@64.89.163.176 on  using TCP/IP
"Aug 17, 2026 12:09:53 AM",corp-na01-bp123na,root,64.89.163.176,LogonFailure,2026-08-17T06:09:53.788187Z   179 Connect Access denied for user 'root'@'64.89.163.176' (using password: NO)
"Aug 17, 2026 12:09:43 AM",corp-na01-bp123na,root,64.89.163.176,LogonFailure,2026-08-17T06:09:43.588451Z   177 Connect Access denied for user 'root'@'64.89.163.176' (using password: NO)
"Aug 16, 2026 11:46:16 PM",corp-na01-bp123na,root,77.90.185.21,LogonSuccess,2026-08-17T05:46:16.442794Z   175 Connect root@77.90.185.21 on  using SSL/TLS
"Aug 16, 2026 11:46:16 PM",corp-na01-bp123na,sa,77.90.185.21,LogonFailure,2026-08-17T05:46:15.888760Z   174 Connect Access denied for user 'sa'@'77.90.185.21' (using password: NO)
"Aug 16, 2026 11:46:15 PM",corp-na01-bp123na,admin,77.90.185.21,LogonFailure,2026-08-17T05:46:15.223541Z   173 Connect Access denied for user 'admin'@'77.90.185.21' (using password: NO)
"Aug 16, 2026 11:46:14 PM",corp-na01-bp123na,root,77.90.185.21,LogonFailure,2026-08-17T05:46:14.557225Z   172 Connect Access denied for user 'root'@'77.90.185.21' (using password: NO)
